track_id,track_name,artist_name,track_genre
3S0OXQeoh0w6AY8WQVckRW,i'm yours,jason mraz,acoustic
5E30LdtzQTGqRvNd7l6kG5,daddy issues,the neighbourhood,alt-rock
2QjOHCTQ1Jl3zawyYOpxh6,sweater weather,the neighbourhood,alt-rock
7JDWhC422Gtk1Bq0mL3OTC,feel something,bea miller,alt-rock
60a0Rd6pjrkxjPbaKzXjfq,in the end,linkin park,alternative
0ri0Han4IRJhzvERHOZTMr,at my worst,pink sweat$,chill
2W4yABdLc4Jnds67Poi5Nl,yellow hearts,ant saunders,chill
2tI4WyzqOOwC23S5m0kqcB,at my worst,pink sweat$,chill
2wrJq5XKLnmhRXHIAf9xBa,"10,000 hours (with justin bieber)",dan + shay;justin bieber,country
5f1joOtoMeyppIcJGZQvqJ,be like that - feat. swae lee & khalid,kane brown;swae lee;khalid,country
6IBcOGPsniK3Pso1wHIhew,forever after all,luke combs,country
7BKLCZ1jbUBVqRi2FVlTVw,closer,the chainsmokers;halsey,dance
5nujrmhLynf4yMoMtj8AQF,levitating (feat. dababy),dua lipa;dababy,dance
6ocbgoVGwYJhOv1GgI9NsF,7 rings,ariana grande,dance
2P91MQbaiQOfbiz9VqhqKQ,i like me better,lauv,dance
35mvY5S1H3J2QZyna3TFe0,positions,ariana grande,dance
7ef4DlsgrMEH11cDZd32M6,one kiss (with dua lipa),calvin harris;dua lipa,dance
39LLxExYz6ewLAcYrzQQyP,levitating,dua lipa,dance
4HBZA5flZLE435QTztThqH,stuck with u (with justin bieber),ariana grande;justin bieber,dance
2dpaYNEQHiRxtZbfNsse99,happier,marshmello;bastille,dance
6RUKPb4LETWmmr3iAEQktW,something just like this,the chainsmokers;coldplay,dance
2BgEsaKNfHUdlh97KmvFyo,2002,anne-marie,dance
6v3KW9xbzN5yKLt9YKDYA2,señorita,shawn mendes;camila cabello,dance
5p7ujcrUXASCNwRaWNHR1C,without me,halsey,dance
6FZDfxM3a3UCqtzo5pxSLZ,without me,halsey,dance
3g0mEQx3NTanacLseoP0Gw,takeaway,the chainsmokers;illenium;lennon stella,dance
1mXVgsBdtIVeCLJnSnmtdV,too good at goodbyes,sam smith,dance
6Im9k8u9iIzKMrmV7BWtlF,34+35,ariana grande,dance
78qd8dvwea0Gosb6Fe6j3k,boss bitch,doja cat,dance
