track_id,track_name,artist_name,release_date,week,rank
1rgnBhdG2JDFTbYkYRZAku,dance monkey,tones and i,2019-05-10,2020-01-03,1
696DnlkuDOXcMAnKlTgXXK,roxanne,arizona zervas,2019-10-10,2020-01-03,2
7k4t7uLgtOxPwTpFmtJNTY,tusa,karol g,2019-11-07,2020-01-03,3
2b8fOow8UzyDFAE27YhOZM,memories,maroon 5,2019-09-20,2020-01-03,4
4TnjEaWOeW0eKTKIEvJyCa,falling,trevor daniel,2018-10-05,2020-01-03,5
21jGcNKet2qwijlDFuPiPb,circles,post malone,2019-09-06,2020-01-03,6
6WrI0LAC5M1Rw2MnX2ZvEg,don't start now,dua lipa,2019-10-31,2020-01-03,7
0sf12qNH5qcw8qpgymFOqD,blinding lights,the weeknd,2019-11-29,2020-01-03,8
6v3KW9xbzN5yKLt9YKDYA2,señorita,shawn mendes,2019-06-19,2020-01-03,9
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,billie eilish,2019-11-13,2020-01-03,10
6cy3ki60hLwimwIje7tALf,ritmo (bad boys for life),black eyed peas,2019-10-12,2020-01-03,11
7qEHsqek33rTcFNT9PFqLf,someone you loved,lewis capaldi,2019-05-17,2020-01-03,12
0nbXyq5TXYPCO7pr3N8S4I,the box,roddy ricch,2019-12-06,2020-01-03,13
2Fxmhks0bxGSBdJ92vM42m,bad guy,billie eilish,2019-03-29,2020-01-03,14
3jjujdWJ72nww5eGnfs2E7,adore you,harry styles,2019-12-13,2020-01-03,15
7h0d2h0fUmzbs7zeFigJPn,highest in the room (feat. rosalía & lil baby) - remix,travis scott,2019-12-27,2020-01-03,16
3yOlyBJuViE2YSGn3nVE1K,my oh my (feat. dababy),camila cabello,2019-12-06,2020-01-03,17
1HfMVBKM75vxSfsQ5VefZ5,lose you to love me,selena gomez,2019-10-23,2020-01-03,18
7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,2019-08-23,2020-01-03,19
5DxXgozhkPLgrbKFY91w0c,vete,bad bunny,2019-11-21,2020-01-03,20
2tnVG71enUj33Ic2nFN6kZ,ride it,regard,2019-07-26,2020-01-03,21
6UelLqGlWMcVH1E5c4H7lY,watermelon sugar,harry styles,2019-12-13,2020-01-03,22
3eekarcy7kvN4yt5ZFzltW,highest in the room,travis scott,2019-10-04,2020-01-03,23
0RiRZpuVRbi7oqRdSMwhQY,sunflower - spider-man: into the spider-verse,post malone,2019-09-06,2020-01-03,24
2ksOAxtIxY8yElEWw8RhgK,china,anuel aa,2019-07-19,2020-01-03,25
6Ozh9Ok6h4Oi1wUSLtBseN,bop,dababy,2019-09-27,2020-01-03,26
6gi6y1xwmVszDWkUqab1qw,out west (feat. young thug),jackboys,2019-12-27,2020-01-03,27
