track_id,track_name,artist_name,main_artist,canonical_title,release_date,week,rank
1rgnBhdG2JDFTbYkYRZAku,dance monkey,tones and i,tones,dance monkey,2019-05-10,2020-01-03,1
696DnlkuDOXcMAnKlTgXXK,roxanne,arizona zervas,arizona zervas,roxanne,2019-10-10,2020-01-03,2
7k4t7uLgtOxPwTpFmtJNTY,tusa,karol g,karol g,tusa,2019-11-07,2020-01-03,3
2b8fOow8UzyDFAE27YhOZM,memories,maroon 5,maroon 5,memories,2019-09-20,2020-01-03,4
4TnjEaWOeW0eKTKIEvJyCa,falling,trevor daniel,trevor daniel,falling,2018-10-05,2020-01-03,5
21jGcNKet2qwijlDFuPiPb,circles,post malone,post malone,circles,2019-09-06,2020-01-03,6
6WrI0LAC5M1Rw2MnX2ZvEg,don't start now,dua lipa,dua lipa,don t start now,2019-10-31,2020-01-03,7
0sf12qNH5qcw8qpgymFOqD,blinding lights,the weeknd,the weeknd,blinding lights,2019-11-29,2020-01-03,8
6v3KW9xbzN5yKLt9YKDYA2,señorita,shawn mendes,shawn mendes,senorita,2019-06-19,2020-01-03,9
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,billie eilish,billie eilish,everything i wanted,2019-11-13,2020-01-03,10
6cy3ki60hLwimwIje7tALf,ritmo (bad boys for life),black eyed peas,black eyed peas,ritmo,2019-10-12,2020-01-03,11
7qEHsqek33rTcFNT9PFqLf,someone you loved,lewis capaldi,lewis capaldi,someone you loved,2019-05-17,2020-01-03,12
0nbXyq5TXYPCO7pr3N8S4I,the box,roddy ricch,roddy ricch,the box,2019-12-06,2020-01-03,13
2Fxmhks0bxGSBdJ92vM42m,bad guy,billie eilish,billie eilish,bad guy,2019-03-29,2020-01-03,14
3jjujdWJ72nww5eGnfs2E7,adore you,harry styles,harry styles,adore you,2019-12-13,2020-01-03,15
7h0d2h0fUmzbs7zeFigJPn,highest in the room (feat. rosalía & lil baby) - remix,travis scott,travis scott,highest in the room remix,2019-12-27,2020-01-03,16
3yOlyBJuViE2YSGn3nVE1K,my oh my (feat. dababy),camila cabello,camila cabello,my oh my,2019-12-06,2020-01-03,17
1HfMVBKM75vxSfsQ5VefZ5,lose you to love me,selena gomez,selena gomez,lose you to love me,2019-10-23,2020-01-03,18
7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,blackbear,hot girl bummer,2019-08-23,2020-01-03,19
5DxXgozhkPLgrbKFY91w0c,vete,bad bunny,bad bunny,vete,2019-11-21,2020-01-03,20
2tnVG71enUj33Ic2nFN6kZ,ride it,regard,regard,ride it,2019-07-26,2020-01-03,21
6UelLqGlWMcVH1E5c4H7lY,watermelon sugar,harry styles,harry styles,watermelon sugar,2019-12-13,2020-01-03,22
3eekarcy7kvN4yt5ZFzltW,highest in the room,travis scott,travis scott,highest in the room,2019-10-04,2020-01-03,23
0RiRZpuVRbi7oqRdSMwhQY,sunflower - spider-man: into the spider-verse,post malone,post malone,sunflower spider man into the spider verse,2019-09-06,2020-01-03,24
2ksOAxtIxY8yElEWw8RhgK,china,anuel aa,anuel aa,china,2019-07-19,2020-01-03,25
6Ozh9Ok6h4Oi1wUSLtBseN,bop,dababy,dababy,bop,2019-09-27,2020-01-03,26
6gi6y1xwmVszDWkUqab1qw,out west (feat. young thug),jackboys,jackboys,out west,2019-12-27,2020-01-03,27
0hVXuCcriWRGvwMV1r5Yn9,i don't care (with justin bieber),ed sheeran,ed sheeran,i don t care,2019-07-12,2020-01-03,28
57vxBYXtHMk6H1aD29V7PU,heartless,the weeknd,the weeknd,heartless,2019-11-27,2020-01-03,29
70eFcWOvlMObDhURTqT4Fv,beautiful people (feat. khalid),ed sheeran,ed sheeran,beautiful people,2019-07-12,2020-01-03,30
285pBltuF7vW8TeWk8hdRR,lucid dreams,juice wrld,juice wrld,lucid dreams,2018-12-10,2020-01-03,31
3VyjsVV24RmBIbWJAeUJNu,no idea,don toliver,don toliver,no idea,2019-05-29,2020-01-03,32
6Gg1gjgKi2AK4e0qzsR7sd,bandit (with youngboy never broke again),juice wrld,juice wrld,bandit,2019-10-04,2020-01-03,33
6mAN61JH0dzyZpWslS11jy,fantasias,rauw alejandro,rauw alejandro,fantasias,2019-08-29,2020-01-03,34
2gMXnyrvIjhVBUZwvLZDMP,before you go,lewis capaldi,lewis capaldi,before you go,2019-11-22,2020-01-03,35
6uJONCdr2rC65BNmCnTBWK,gang gang,jackboys,jackboys,gang gang,2019-12-27,2020-01-03,36
2Ec33AVlkTTq8BHFgBTdQs,futsal shuffle 2020,lil uzi vert,lil uzi vert,futsal shuffle,2019-12-12,2020-01-03,37
4AO1XhrgJczQ9bNVxdfKQe,what to do? (feat. don toliver),jackboys,jackboys,what to do,2019-12-27,2020-01-03,38
1rgnBhdG2JDFTbYkYRZAku,dance monkey,tones and i,tones,dance monkey,2019-05-10,2020-01-10,1
41L3O37CECZt3N7ziG2z7l,yummy,justin bieber,justin bieber,yummy,2020-01-03,2020-01-10,2
696DnlkuDOXcMAnKlTgXXK,roxanne,arizona zervas,arizona zervas,roxanne,2019-10-10,2020-01-10,3
0nbXyq5TXYPCO7pr3N8S4I,the box,roddy ricch,roddy ricch,the box,2019-12-06,2020-01-10,4
7k4t7uLgtOxPwTpFmtJNTY,tusa,karol g,karol g,tusa,2019-11-07,2020-01-10,5
0sf12qNH5qcw8qpgymFOqD,blinding lights,the weeknd,the weeknd,blinding lights,2019-11-29,2020-01-10,6
4TnjEaWOeW0eKTKIEvJyCa,falling,trevor daniel,trevor daniel,falling,2018-10-05,2020-01-10,7
6WrI0LAC5M1Rw2MnX2ZvEg,don't start now,dua lipa,dua lipa,don t start now,2019-10-31,2020-01-10,8
2b8fOow8UzyDFAE27YhOZM,memories,maroon 5,maroon 5,memories,2019-09-20,2020-01-10,9
21jGcNKet2qwijlDFuPiPb,circles,post malone,post malone,circles,2019-09-06,2020-01-10,10
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,billie eilish,billie eilish,everything i wanted,2019-11-13,2020-01-10,11
6v3KW9xbzN5yKLt9YKDYA2,señorita,shawn mendes,shawn mendes,senorita,2019-06-19,2020-01-10,12
6cy3ki60hLwimwIje7tALf,ritmo (bad boys for life),black eyed peas,black eyed peas,ritmo,2019-10-12,2020-01-10,13
7qEHsqek33rTcFNT9PFqLf,someone you loved,lewis capaldi,lewis capaldi,someone you loved,2019-05-17,2020-01-10,14
3yOlyBJuViE2YSGn3nVE1K,my oh my (feat. dababy),camila cabello,camila cabello,my oh my,2019-12-06,2020-01-10,15
3jjujdWJ72nww5eGnfs2E7,adore you,harry styles,harry styles,adore you,2019-12-13,2020-01-10,16
2Fxmhks0bxGSBdJ92vM42m,bad guy,billie eilish,billie eilish,bad guy,2019-03-29,2020-01-10,17
1HfMVBKM75vxSfsQ5VefZ5,lose you to love me,selena gomez,selena gomez,lose you to love me,2019-10-23,2020-01-10,18
7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,blackbear,hot girl bummer,2019-08-23,2020-01-10,19
2tnVG71enUj33Ic2nFN6kZ,ride it,regard,regard,ride it,2019-07-26,2020-01-10,20
6UelLqGlWMcVH1E5c4H7lY,watermelon sugar,harry styles,harry styles,watermelon sugar,2019-12-13,2020-01-10,21
5DxXgozhkPLgrbKFY91w0c,vete,bad bunny,bad bunny,vete,2019-11-21,2020-01-10,22
6Ozh9Ok6h4Oi1wUSLtBseN,bop,dababy,dababy,bop,2019-09-27,2020-01-10,23
2gMXnyrvIjhVBUZwvLZDMP,before you go,lewis capaldi,lewis capaldi,before you go,2019-11-22,2020-01-10,24
