track_id,track_name,artist_name,main_artist,canonical_title,track_genre,popularity
3nqQXoyQOWXiESFLlDF1hG,unholy (feat. kim petras),sam smith;kim petras,sam smith,unholy,dance,100
2tTmW7RDtMQtBk7m2rYeSw,"quevedo: bzrp music sessions, vol. 52",bizarrap;quevedo,bizarrap,quevedo bzrp music sessions vol,hip-hop,99
4uUG5RXrOk84mYEfFvj3cK,i'm good (blue),david guetta;bebe rexha,david guetta,i m good,dance,98
5ww2BF9slyYgNOk37BlC4u,la bachata,manuel turizo,manuel turizo,la bachata,latin,98
1IHWl5LamUGEuP4ozKQSXZ,tití me preguntó,bad bunny,bad bunny,titi me pregunto,latin,97
6Sq7ltF9Qa7SNFBsV5Cogx,me porto bonito,bad bunny;chencho corleone,bad bunny,me porto bonito,latin,97
4h9wh7iOZ0GGn8QVp4RAOB,i ain't worried,onerepublic,onerepublic,i ain t worried,piano,96
5Eax0qFko2dh7Rl2lYs3bx,efecto,bad bunny,bad bunny,efecto,latin,96
5IgjP7X4th6nMNDh4akUHb,under the influence,chris brown,chris brown,under the influence,dance,96
3k3NWokhRRkEPhCzPmV8TW,ojitos lindos,bad bunny;bomba estéreo,bad bunny,ojitos lindos,latin,95
4LRPiXqCikLlN15c3yImP7,as it was,harry styles,harry styles,as it was,pop,95
6Xom58OOXk2SoU711L2IXO,moscow mule,bad bunny,bad bunny,moscow mule,latin,94
6xGruZOHLs39ZbVccQTuPZ,glimpse of us,joji,joji,glimpse of us,pop,94
1xzi1Jcr7mEi9K2RfzLOqS,cuff it,beyoncé,beyonce,cuff it,dance,93
2QjOHCTQ1Jl3zawyYOpxh6,sweater weather,the neighbourhood,the neighbourhood,sweater weather,alt-rock,93
31i56LZnwE6uSu3exoHjtB,neverita,bad bunny,bad bunny,neverita,latin,93
3JvKfv6T31zO0ini8iNItO,another love,tom odell,tom odell,another love,chill,93
7dSZ6zGTQx66c2GF91xCrb,provenza,karol g,karol g,provenza,reggae,93
0WtM2NBVQNNJLh6scP13H8,calm down (with selena gomez),rema;selena gomez,rema,calm down,pop,92
0mBP9X2gPCuapvpZ7TGDk3,left and right (feat. jung kook of bts),charlie puth;jung kook;bts,charlie puth,left and right,dance,92
4C6Uex2ILwJi9sZXRdmqXp,super freaky girl,nicki minaj,nicki minaj,super freaky girl,dance,92
5XeFesFbtLpXzIVDNQP22n,i wanna be yours,arctic monkeys,arctic monkeys,i wanna be yours,garage,92
0VjIjW4GlUZAMYd2vXMi3b,blinding lights,the weeknd,the weeknd,blinding lights,pop,91
3F5CgOj3wFlRv51JsHbxhe,jimmy cooks (feat. 21 savage),drake;21 savage,drake,jimmy cooks,hip-hop,91
41oY4WCTj5kccfesTVFnvN,tarot,bad bunny;jhayco,bad bunny,tarot,latin,91
6i1g5ZRmJZAkDwBaUZ3f2i,caile,luar la l,luar la l,caile,latin,91
79HZAZNnOE97rb2hnI0XQr,lokera,rauw alejandro;lyanno;brray,rauw alejandro,lokera,latin,91
0T5iIrXA4p5GsubkhuBIKV,until i found you,stephen sanchez,stephen sanchez,until i found you,pop,90
0hquQWY3xvYqN4qtiquniF,vegas (from the original motion picture soundtrack elvis),doja cat,doja cat,vegas,dance,90
1797zYiX4cKosMH836X9Gt,la corriente,bad bunny;tony dize,bad bunny,la corriente,latino,90
1Fid2jjqsHViMX6xNH70hE,atlantis,seafret,seafret,atlantis,folk,90
1cKHdTo9u0ZymJdPGSh6nq,i was never there,the weeknd;gesaffelstein,the weeknd,i was never there,pop,90
1ga4PztXOIw1yBbdUt2X8v,gatúbela,karol g;maldy,karol g,gatubela,reggae,90
2eAvDnpXP5W0cVtiI0PUxV,dandelions,ruth b.,ruth b.,dandelions,pop,90
2rurDawMfoKP4uHyb2kJBt,te felicito,shakira;rauw alejandro,shakira,te felicito,latin,90
38T0tPVZHcPZyhtOcCP7pF,star walkin' (league of legends worlds anthem),lil nas x,lil nas x,star walkin,hip-hop,90
4tYFy8ALRjIZvnvSLw5lxN,party,bad bunny;rauw alejandro,bad bunny,party,latino,90
4zN21mbAuaD0WqtmaTZZeP,ferrari,james hype;miggy dela rosa,james hype,ferrari,dance,90
58HvfVOeJY7lUuCqF0m3ly,middle of the night,elley duhé,elley duhe,middle of the night,pop,90
75FEaRjZTKLhTrFGsfMUXR,running up that hill (a deal with god),kate bush,kate bush,running up that hill,piano,90
7DbdUf8aHSYoliSjO6LZv6,"sex, drugs, etc.",beach weather,beach weather,sex drugs etc,rock,90
7MXVkk9YMctZqd1Srtv4MB,starboy,the weeknd;daft punk,the weeknd,starboy,pop,90
09mEdoA6zrmBPgTEN5qXmN,call out my name,the weeknd,the weeknd,call out my name,pop,89
0HqZX76SFLDz2aW8aiqi7G,bones,imagine dragons,imagine dragons,bones,rock,89
0u2P5u6lvoDfwTYjAADbn4,lovely (with khalid),billie eilish;khalid,billie eilish,lovely,pop,89
1DIXPcTDzTj8ZMHt3PDt8p,gangsta's paradise,coolio;l.v.,coolio,gangsta s paradise,funk,89
1PckUlxKqWQs3RlWXVBLw3,about damn time,lizzo,lizzo,about damn time,hip-hop,89
27ZZdyTSQWI7Cug2d2PkqV,billie eilish.,armani white,armani white,billie eilish,hip-hop,89
3WMj8moIAXJhHsyLaqIIHI,something in the orange,zach bryan,zach bryan,something in the orange,country,89
3fjN3y5x4hN53rykAN2LHQ,cómo dormiste?,rels b,rels b,como dormiste,latino,89
4SqWKzw0CbA05TGszDgMlc,i love you so,the walters,the walters,i love you so,indie,89
59nOXPmaKlBfGMDeOVGrIK,wait for u (feat. drake & tems),future;drake;tems,future,wait for u,hip-hop,89
5HCyWlXZPP0y6Gqq8TgA20,stay (with justin bieber),the kid laroi;justin bieber,the kid laroi,stay,hip-hop,89
