track_id,track_name,artist_name,main_artist,canonical_title,release_date,popularity
0VjIjW4GlUZAMYd2vXMi3b,blinding lights,the weeknd,the weeknd,blinding lights,2020-03-20,94
6tDDoYIxWvMLTdKpjFkc1B,telepatía,kali uchis,kali uchis,telepatia,2020-12-04,94
6f3Slt0GbA2bPZlz0aIFXN,the business,tiësto,tiesto,the business,2020-09-16,93
3FAJ6O0NOHQV8Mc5Ri6ENp,heartbreak anniversary,giveon,giveon,heartbreak anniversary,2020-03-27,92
463CkQjx2Zk1yXoBuierM9,levitating (feat. dababy),dua lipa,dua lipa,levitating,2020-10-01,92
1xK1Gg9SxG8fy2Ya373oqb,bandido,myke towers,myke towers,bandido,2020-12-10,91
27OeeYzk6klgBh83TSvGMA,without you,the kid laroi,the kid laroi,without you,2020-11-06,91
4saklk6nie3yiGePpBwUoc,dynamite,bts,bts,dynamite,2020-11-20,91
35mvY5S1H3J2QZyna3TFe0,positions,ariana grande,ariana grande,positions,2020-10-30,89
3VvA1wSxukMLsvXoXtlwWx,hecha pa' mi,boza,boza,hecha pa mi,2020-07-31,89
3YJJjQPAbDT7mGpX3WtQ9A,good days,sza,sza,good days,2020-12-25,89
47EiUVwUp4C9fGccaPuUCS,dákiti,bad bunny,bad bunny,dakiti,2020-10-30,89
6cx06DFPPHchuUAcTxznu9,head & heart (feat. mnek),joel corry,joel corry,head heart,2020-07-03,89
6ft4hAq6yde8jPZY2i5zLr,paradise (feat. dermot kennedy),meduza,meduza,paradise,2020-10-30,89
7ytR5pFWmSjzHJIeQkgog4,rockstar (feat. roddy ricch),dababy,dababy,rockstar,2020-04-17,89
249gnXrbfmV8NG6jTEMSwD,life goes on,bts,bts,life goes on,2020-11-20,88
45bE4HXI0AwGZXfZtMp8JR,you broke me first,tate mcrae,tate mcrae,you broke me first,2020-04-17,88
1VLtjHwRWOVJiE5Py7JxoQ,martin & gina,polo g,polo g,martin gina,2020-05-15,87
1tkg4EHVoqnhR6iFEXb60y,what you know bout love,pop smoke,pop smoke,what you know bout love,2020-07-03,87
4Oun2ylbjFKMPTiaSbbCih,wap (feat. megan thee stallion),cardi b,cardi b,wap,2020-08-07,87
4xqrdfXkTW4T0RauPLv3WA,heather,conan gray,conan gray,heather,2020-03-20,87
54bFM56PmE4YLRnqpW6Tha,therefore i am,billie eilish,billie eilish,therefore i am,2020-11-12,87
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),powfu,powfu,death bed,2020-02-08,87
7xT1n5JKpB0bMPh6FL589e,poblado,crissin,crissin,poblado,2020-12-11,87
0PvFJmanyNQMseIFrU708S,for the night (feat. lil baby & dababy),pop smoke,pop smoke,for the night,2020-07-03,86
1zLBsSVxETQOfINOLYvT5m,girl like me,black eyed peas,black eyed peas,girl like me,2020-11-02,86
2SAqBLGA283SUiwJ3xOUVI,laugh now cry later (feat. lil durk),drake,drake,laugh now cry later,2020-08-14,86
6zFMeegAMYQo0mt8rXtrli,holiday,lil nas x,lil nas x,holiday,2020-11-13,86
0EhpEsp4L0oRGM0vmeaN5e,un dia (one day) (feat. tainy),j balvin,j balvin,un dia,2020-07-24,85
1xQ6trAsedVPCdbtDAmk0c,savage love (laxed - siren beat),jawsh 685,jawsh 685,savage love,2020-06-11,85
20McUFi8KCIVdNDLrkTDuZ,goosebumps,hvme,hvme,goosebumps,2020-06-12,85
2QLbRVzixE282JSQjBz2DG,liberdade (quando o grave bate forte),alok,alok,liberdade,2020-12-18,85
2U5WueTLIK5WJLD7mvDODv,wishing well,juice wrld,juice wrld,wishing well,2020-07-10,85
