genre,weeks_on_chart
reggae,27
pop,18
pop,27
dance,34
pop,52
dance,13
electro,15
pop,47
electro,17
dance,9
electro,5
latino,11
edm,8
pop,32
hip-hop,7
latino,2
dance,7
electro,8
hip-hop,13
k-pop,1
dance,24
house,40
k-pop,1
soul,20
sad,32
latino,6
latino,6
latino,3
latino,13
latino,15
pop,1
dance,22
dance,9
house,19
hip-hop,5
hip-hop,9
dance,5
dance,13
electro,8
edm,23
edm,1
pop,21
k-pop,8
k-pop,13
latino,17
pop,1
latino,17
edm,19
latino,19
pop,19
k-pop,18
pop,14
pop,15
latino,11
dance,10
dance,1
indie-pop,9
k-pop,4
latino,3
dance,9
country,1
latin,8
dance,1
latin,3
dance,5
electro,6
reggae,6
k-pop,3
dance,5
disco,5
latino,4
latino,2
hip-hop,2
dance,1
